Patient ID, Date,Time,Resistance (kOhm)
11_10_02_CH,11/10/2017,12:25:36.980,12003
11_10_02_CH,11/10/2017,12:25:36.987,20445
11_10_02_CH,11/10/2017,12:25:36.994,12518
11_10_02_CH,11/10/2017,12:25:37.003,18598
11_10_02_CH,11/10/2017,12:25:37.127,13576
11_10_02_CH,11/10/2017,12:25:37.320,13948
11_10_02_CH,11/10/2017,12:25:37.542,14114
11_10_02_CH,11/10/2017,12:25:37.725,14003
11_10_02_CH,11/10/2017,12:25:37.944,14003
11_10_02_CH,11/10/2017,12:25:38.127,14058
11_10_02_CH,11/10/2017,12:25:38.323,14058
11_10_02_CH,11/10/2017,12:25:38.613,14058
11_10_02_CH,11/10/2017,12:25:38.745,14003
11_10_02_CH,11/10/2017,12:25:38.920,14003
11_10_02_CH,11/10/2017,12:25:39.119,14003
11_10_02_CH,11/10/2017,12:25:39.346,13948
11_10_02_CH,11/10/2017,12:25:39.514,14114
11_10_02_CH,11/10/2017,12:25:39.715,14114
11_10_02_CH,11/10/2017,12:25:39.931,14226
11_10_02_CH,11/10/2017,12:25:40.114,14226
11_10_02_CH,11/10/2017,12:25:40.309,14340
11_10_02_CH,11/10/2017,12:25:40.523,14515
11_10_02_CH,11/10/2017,12:25:40.709,14633
11_10_02_CH,11/10/2017,12:25:40.958,15000
11_10_02_CH,11/10/2017,12:25:41.133,16429
11_10_02_CH,11/10/2017,12:25:41.310,16138
11_10_02_CH,11/10/2017,12:25:41.507,15650
11_10_02_CH,11/10/2017,12:25:41.733,15125
11_10_02_CH,11/10/2017,12:25:41.907,14814
11_10_02_CH,11/10/2017,12:25:42.106,14693
11_10_02_CH,11/10/2017,12:25:42.323,15318
11_10_02_CH,11/10/2017,12:25:42.503,314080
11_10_02_CH,11/10/2017,12:25:42.716,340330
11_10_02_CH,11/10/2017,12:25:42.905,340330
11_10_02_CH,11/10/2017,12:25:43.100,340330
11_10_02_CH,11/10/2017,12:25:43.344,340330
11_10_02_CH,11/10/2017,12:25:43.513,340330
11_10_02_CH,11/10/2017,12:25:43.700,340330
11_10_02_CH,11/10/2017,12:25:43.932,340330
11_10_02_CH,11/10/2017,12:25:44.112,340330
11_10_02_CH,11/10/2017,12:25:44.302,340330
11_10_02_CH,11/10/2017,12:25:44.529,340330
11_10_02_CH,11/10/2017,12:25:44.707,340330
11_10_02_CH,11/10/2017,12:25:44.893,340330
11_10_02_CH,11/10/2017,12:25:45.097,340330
11_10_02_CH,11/10/2017,12:25:45.310,340330
11_10_02_CH,11/10/2017,12:25:45.500,340330
11_10_02_CH,11/10/2017,12:25:45.733,340330
11_10_02_CH,11/10/2017,12:25:45.912,340330
11_10_02_CH,11/10/2017,12:25:46.099,340330
11_10_02_CH,11/10/2017,12:25:46.289,340330
11_10_02_CH,11/10/2017,12:25:46.511,340330
11_10_02_CH,11/10/2017,12:25:46.690,340330
11_10_02_CH,11/10/2017,12:25:46.885,340330
