Patient ID, Date,Time,Brightness (LUX)
11_10_02_ET,11/10/2017,11:36:58.528,106
11_10_02_ET,11/10/2017,11:36:58.553,106
11_10_02_ET,11/10/2017,11:36:58.577,107
11_10_02_ET,11/10/2017,11:36:58.776,102
11_10_02_ET,11/10/2017,11:36:59.244,106
11_10_02_ET,11/10/2017,11:36:59.736,104
11_10_02_ET,11/10/2017,11:37:00.252,106
11_10_02_ET,11/10/2017,11:37:00.760,107
11_10_02_ET,11/10/2017,11:37:01.280,106
11_10_02_ET,11/10/2017,11:37:01.740,102
11_10_02_ET,11/10/2017,11:37:02.233,102
11_10_02_ET,11/10/2017,11:37:02.752,106
11_10_02_ET,11/10/2017,11:37:03.276,101
11_10_02_ET,11/10/2017,11:37:03.737,104
11_10_02_ET,11/10/2017,11:37:04.237,106
11_10_02_ET,11/10/2017,11:37:04.749,106
11_10_02_ET,11/10/2017,11:37:05.272,102
11_10_02_ET,11/10/2017,11:37:05.734,104
11_10_02_ET,11/10/2017,11:37:06.238,106
11_10_02_ET,11/10/2017,11:37:06.747,106
11_10_02_ET,11/10/2017,11:37:07.269,104
11_10_02_ET,11/10/2017,11:37:07.738,104
11_10_02_ET,11/10/2017,11:37:08.236,104
11_10_02_ET,11/10/2017,11:37:08.744,104
11_10_02_ET,11/10/2017,11:37:09.256,102
11_10_02_ET,11/10/2017,11:37:09.778,102
11_10_02_ET,11/10/2017,11:37:10.241,102
11_10_02_ET,11/10/2017,11:37:10.740,104
11_10_02_ET,11/10/2017,11:37:11.264,106
11_10_02_ET,11/10/2017,11:37:11.776,106
11_10_02_ET,11/10/2017,11:37:12.239,104
11_10_02_ET,11/10/2017,11:37:12.738,102
11_10_02_ET,11/10/2017,11:37:13.247,104
11_10_02_ET,11/10/2017,11:37:13.778,106
11_10_02_ET,11/10/2017,11:37:14.276,104
11_10_02_ET,11/10/2017,11:37:14.741,102
11_10_02_ET,11/10/2017,11:37:15.242,102
11_10_02_ET,11/10/2017,11:37:15.771,104
11_10_02_ET,11/10/2017,11:37:16.279,104
11_10_02_ET,11/10/2017,11:37:16.744,104
11_10_02_ET,11/10/2017,11:37:17.239,104
11_10_02_ET,11/10/2017,11:37:17.766,104
11_10_02_ET,11/10/2017,11:37:18.276,106
11_10_02_ET,11/10/2017,11:37:18.738,102
11_10_02_ET,11/10/2017,11:37:19.242,104
11_10_02_ET,11/10/2017,11:37:19.770,104
11_10_02_ET,11/10/2017,11:37:20.281,102
11_10_02_ET,11/10/2017,11:37:20.789,102
11_10_02_ET,11/10/2017,11:37:21.247,101
