Patient ID, Date,Time,Resistance (kOhm)
11_10_03_CH_ON,11/10/2017,14:24:00.179,1682
11_10_03_CH_ON,11/10/2017,14:24:00.363,1682
11_10_03_CH_ON,11/10/2017,14:24:00.561,1680
11_10_03_CH_ON,11/10/2017,14:24:00.762,1680
11_10_03_CH_ON,11/10/2017,14:24:00.962,1677
11_10_03_CH_ON,11/10/2017,14:24:01.160,1678
11_10_03_CH_ON,11/10/2017,14:24:01.380,1678
11_10_03_CH_ON,11/10/2017,14:24:01.559,1675
11_10_03_CH_ON,11/10/2017,14:24:01.755,1675
11_10_03_CH_ON,11/10/2017,14:24:01.982,1670
11_10_03_CH_ON,11/10/2017,14:24:02.157,1671
11_10_03_CH_ON,11/10/2017,14:24:02.367,1668
11_10_03_CH_ON,11/10/2017,14:24:02.562,1670
11_10_03_CH_ON,11/10/2017,14:24:02.751,1666
11_10_03_CH_ON,11/10/2017,14:24:02.951,1652
11_10_03_CH_ON,11/10/2017,14:24:03.161,1645
11_10_03_CH_ON,11/10/2017,14:24:03.351,1640
11_10_03_CH_ON,11/10/2017,14:24:03.584,1632
11_10_03_CH_ON,11/10/2017,14:24:03.755,1630
11_10_03_CH_ON,11/10/2017,14:24:03.948,1625
11_10_03_CH_ON,11/10/2017,14:24:04.181,1627
11_10_03_CH_ON,11/10/2017,14:24:04.351,1630
11_10_03_CH_ON,11/10/2017,14:24:04.543,1629
11_10_03_CH_ON,11/10/2017,14:24:04.759,1627
11_10_03_CH_ON,11/10/2017,14:24:04.959,1634
11_10_03_CH_ON,11/10/2017,14:24:05.144,1635
11_10_03_CH_ON,11/10/2017,14:24:05.343,1645
11_10_03_CH_ON,11/10/2017,14:24:05.546,1651
11_10_03_CH_ON,11/10/2017,14:24:05.741,1652
11_10_03_CH_ON,11/10/2017,14:24:05.971,1661
11_10_03_CH_ON,11/10/2017,14:24:06.141,1670
11_10_03_CH_ON,11/10/2017,14:24:06.444,1677
11_10_03_CH_ON,11/10/2017,14:24:06.560,1684
11_10_03_CH_ON,11/10/2017,14:24:06.740,1689
11_10_03_CH_ON,11/10/2017,14:24:06.937,1691
11_10_03_CH_ON,11/10/2017,14:24:07.146,1689
11_10_03_CH_ON,11/10/2017,14:24:07.336,1687
11_10_03_CH_ON,11/10/2017,14:24:07.535,1691
11_10_03_CH_ON,11/10/2017,14:24:07.733,1691
11_10_03_CH_ON,11/10/2017,14:24:07.932,1691
11_10_03_CH_ON,11/10/2017,14:24:08.181,1692
11_10_03_CH_ON,11/10/2017,14:24:08.338,1691
11_10_03_CH_ON,11/10/2017,14:24:08.535,1696
11_10_03_CH_ON,11/10/2017,14:24:08.753,1701
11_10_03_CH_ON,11/10/2017,14:24:08.942,1701
11_10_03_CH_ON,11/10/2017,14:24:09.128,1705
11_10_03_CH_ON,11/10/2017,14:24:09.339,1712
11_10_03_CH_ON,11/10/2017,14:24:09.533,1727
