Patient ID, Date,Time,Brightness (LUX)
11_10_03_CH_ON,11/10/2017,14:24:00.305,107
11_10_03_CH_ON,11/10/2017,14:24:00.807,110
11_10_03_CH_ON,11/10/2017,14:24:01.300,117
11_10_03_CH_ON,11/10/2017,14:24:01.801,115
11_10_03_CH_ON,11/10/2017,14:24:02.315,114
11_10_03_CH_ON,11/10/2017,14:24:02.806,117
11_10_03_CH_ON,11/10/2017,14:24:03.329,120
11_10_03_CH_ON,11/10/2017,14:24:03.829,115
11_10_03_CH_ON,11/10/2017,14:24:04.300,136
11_10_03_CH_ON,11/10/2017,14:24:04.797,126
11_10_03_CH_ON,11/10/2017,14:24:05.298,107
11_10_03_CH_ON,11/10/2017,14:24:05.801,121
11_10_03_CH_ON,11/10/2017,14:24:06.302,147
11_10_03_CH_ON,11/10/2017,14:24:06.803,145
11_10_03_CH_ON,11/10/2017,14:24:07.323,139
11_10_03_CH_ON,11/10/2017,14:24:07.827,136
11_10_03_CH_ON,11/10/2017,14:24:08.316,139
11_10_03_CH_ON,11/10/2017,14:24:08.798,112
11_10_03_CH_ON,11/10/2017,14:24:09.301,110
11_10_03_CH_ON,11/10/2017,14:24:09.801,112
11_10_03_CH_ON,11/10/2017,14:24:10.301,114
11_10_03_CH_ON,11/10/2017,14:24:10.801,120
11_10_03_CH_ON,11/10/2017,14:24:11.310,120
11_10_03_CH_ON,11/10/2017,14:24:11.821,120
11_10_03_CH_ON,11/10/2017,14:24:12.311,121
11_10_03_CH_ON,11/10/2017,14:24:12.802,120
11_10_03_CH_ON,11/10/2017,14:24:13.300,123
11_10_03_CH_ON,11/10/2017,14:24:13.803,132
11_10_03_CH_ON,11/10/2017,14:24:14.303,140
11_10_03_CH_ON,11/10/2017,14:24:14.801,144
11_10_03_CH_ON,11/10/2017,14:24:15.299,147
11_10_03_CH_ON,11/10/2017,14:24:15.807,145
11_10_03_CH_ON,11/10/2017,14:24:16.321,145
11_10_03_CH_ON,11/10/2017,14:24:16.800,133
11_10_03_CH_ON,11/10/2017,14:24:17.331,123
11_10_03_CH_ON,11/10/2017,14:24:17.822,128
11_10_03_CH_ON,11/10/2017,14:24:18.303,118
11_10_03_CH_ON,11/10/2017,14:24:18.803,114
11_10_03_CH_ON,11/10/2017,14:24:19.301,106
11_10_03_CH_ON,11/10/2017,14:24:19.803,107
11_10_03_CH_ON,11/10/2017,14:24:20.315,107
11_10_03_CH_ON,11/10/2017,14:24:20.816,109
11_10_03_CH_ON,11/10/2017,14:24:21.335,109
11_10_03_CH_ON,11/10/2017,14:24:21.820,112
11_10_03_CH_ON,11/10/2017,14:24:22.304,141
11_10_03_CH_ON,11/10/2017,14:24:22.800,134
11_10_03_CH_ON,11/10/2017,14:24:23.301,136
11_10_03_CH_ON,11/10/2017,14:24:23.803,139
11_10_03_CH_ON,11/10/2017,14:24:24.301,129
11_10_03_CH_ON,11/10/2017,14:24:24.804,132
11_10_03_CH_ON,11/10/2017,14:24:25.313,137
11_10_03_CH_ON,11/10/2017,14:24:25.819,137
11_10_03_CH_ON,11/10/2017,14:24:26.304,137
11_10_03_CH_ON,11/10/2017,14:24:26.840,141
11_10_03_CH_ON,11/10/2017,14:24:27.305,145
11_10_03_CH_ON,11/10/2017,14:24:27.816,142
11_10_03_CH_ON,11/10/2017,14:24:28.351,139
11_10_03_CH_ON,11/10/2017,14:24:28.802,132
11_10_03_CH_ON,11/10/2017,14:24:29.306,137
11_10_03_CH_ON,11/10/2017,14:24:29.805,140
11_10_03_CH_ON,11/10/2017,14:24:30.305,140
11_10_03_CH_ON,11/10/2017,14:24:30.810,144
11_10_03_CH_ON,11/10/2017,14:24:31.329,139
11_10_03_CH_ON,11/10/2017,14:24:31.821,141
11_10_03_CH_ON,11/10/2017,14:24:32.306,139
11_10_03_CH_ON,11/10/2017,14:24:32.808,136
11_10_03_CH_ON,11/10/2017,14:24:33.305,139
11_10_03_CH_ON,11/10/2017,14:24:33.807,142
11_10_03_CH_ON,11/10/2017,14:24:34.306,129
11_10_03_CH_ON,11/10/2017,14:24:34.809,134
11_10_03_CH_ON,11/10/2017,14:24:35.321,140
11_10_03_CH_ON,11/10/2017,14:24:35.821,147
11_10_03_CH_ON,11/10/2017,14:24:36.344,145
11_10_03_CH_ON,11/10/2017,14:24:36.835,147
11_10_03_CH_ON,11/10/2017,14:24:37.307,142
11_10_03_CH_ON,11/10/2017,14:24:37.805,145
11_10_03_CH_ON,11/10/2017,14:24:38.307,141
11_10_03_CH_ON,11/10/2017,14:24:38.806,144
11_10_03_CH_ON,11/10/2017,14:24:39.307,145
11_10_03_CH_ON,11/10/2017,14:24:39.820,144
11_10_03_CH_ON,11/10/2017,14:24:40.329,142
11_10_03_CH_ON,11/10/2017,14:24:40.845,139
11_10_03_CH_ON,11/10/2017,14:24:41.320,145
11_10_03_CH_ON,11/10/2017,14:24:41.811,156
11_10_03_CH_ON,11/10/2017,14:24:42.307,182
11_10_03_CH_ON,11/10/2017,14:24:42.810,134
11_10_03_CH_ON,11/10/2017,14:24:43.308,192
11_10_03_CH_ON,11/10/2017,14:24:43.817,191
11_10_03_CH_ON,11/10/2017,14:24:44.309,188
11_10_03_CH_ON,11/10/2017,14:24:44.830,186
11_10_03_CH_ON,11/10/2017,14:24:45.319,182
11_10_03_CH_ON,11/10/2017,14:24:45.807,186
11_10_03_CH_ON,11/10/2017,14:24:46.341,197
11_10_03_CH_ON,11/10/2017,14:24:46.808,192
11_10_03_CH_ON,11/10/2017,14:24:47.363,202
11_10_03_CH_ON,11/10/2017,14:24:47.808,202
11_10_03_CH_ON,11/10/2017,14:24:48.311,199
11_10_03_CH_ON,11/10/2017,14:24:48.822,201
11_10_03_CH_ON,11/10/2017,14:24:49.322,197
11_10_03_CH_ON,11/10/2017,14:24:49.826,202
11_10_03_CH_ON,11/10/2017,14:24:50.337,202
11_10_03_CH_ON,11/10/2017,14:24:50.826,202
11_10_03_CH_ON,11/10/2017,14:24:51.309,202
11_10_03_CH_ON,11/10/2017,14:24:51.809,205
11_10_03_CH_ON,11/10/2017,14:24:52.310,199
11_10_03_CH_ON,11/10/2017,14:24:52.810,205
11_10_03_CH_ON,11/10/2017,14:24:53.312,197
11_10_03_CH_ON,11/10/2017,14:24:53.820,184
11_10_03_CH_ON,11/10/2017,14:24:54.332,191
11_10_03_CH_ON,11/10/2017,14:24:54.824,192
11_10_03_CH_ON,11/10/2017,14:24:55.312,204
11_10_03_CH_ON,11/10/2017,14:24:55.810,214
11_10_03_CH_ON,11/10/2017,14:24:56.312,201
11_10_03_CH_ON,11/10/2017,14:24:56.811,204
11_10_03_CH_ON,11/10/2017,14:24:57.319,194
11_10_03_CH_ON,11/10/2017,14:24:57.817,196
11_10_03_CH_ON,11/10/2017,14:24:58.340,174
11_10_03_CH_ON,11/10/2017,14:24:58.820,207
11_10_03_CH_ON,11/10/2017,14:24:59.331,210
11_10_03_CH_ON,11/10/2017,14:24:59.846,204
11_10_03_CH_ON,11/10/2017,14:25:00.332,196
11_10_03_CH_ON,11/10/2017,14:25:00.812,199
11_10_03_CH_ON,11/10/2017,14:25:01.312,190
11_10_03_CH_ON,11/10/2017,14:25:01.843,198
11_10_03_CH_ON,11/10/2017,14:25:02.312,180
11_10_03_CH_ON,11/10/2017,14:25:02.825,191
11_10_03_CH_ON,11/10/2017,14:25:03.326,184
11_10_03_CH_ON,11/10/2017,14:25:03.830,212
11_10_03_CH_ON,11/10/2017,14:25:04.340,214
11_10_03_CH_ON,11/10/2017,14:25:04.817,196
11_10_03_CH_ON,11/10/2017,14:25:05.321,193
11_10_03_CH_ON,11/10/2017,14:25:05.814,186
11_10_03_CH_ON,11/10/2017,14:25:06.313,205
11_10_03_CH_ON,11/10/2017,14:25:06.811,207
11_10_03_CH_ON,11/10/2017,14:25:07.315,206
11_10_03_CH_ON,11/10/2017,14:25:07.835,194
11_10_03_CH_ON,11/10/2017,14:25:08.339,204
11_10_03_CH_ON,11/10/2017,14:25:08.814,191
11_10_03_CH_ON,11/10/2017,14:25:09.350,199
11_10_03_CH_ON,11/10/2017,14:25:09.815,204
11_10_03_CH_ON,11/10/2017,14:25:10.314,201
11_10_03_CH_ON,11/10/2017,14:25:10.814,204
11_10_03_CH_ON,11/10/2017,14:25:11.317,198
11_10_03_CH_ON,11/10/2017,14:25:11.821,196
11_10_03_CH_ON,11/10/2017,14:25:12.330,209
11_10_03_CH_ON,11/10/2017,14:25:12.815,195
11_10_03_CH_ON,11/10/2017,14:25:13.345,196
11_10_03_CH_ON,11/10/2017,14:25:13.835,201
11_10_03_CH_ON,11/10/2017,14:25:14.322,198
11_10_03_CH_ON,11/10/2017,14:25:14.818,158
11_10_03_CH_ON,11/10/2017,14:25:15.316,177
11_10_03_CH_ON,11/10/2017,14:25:15.816,180
11_10_03_CH_ON,11/10/2017,14:25:16.329,201
11_10_03_CH_ON,11/10/2017,14:25:16.817,204
11_10_03_CH_ON,11/10/2017,14:25:17.318,195
11_10_03_CH_ON,11/10/2017,14:25:17.831,200
11_10_03_CH_ON,11/10/2017,14:25:18.319,195
11_10_03_CH_ON,11/10/2017,14:25:18.816,195
11_10_03_CH_ON,11/10/2017,14:25:19.346,187
11_10_03_CH_ON,11/10/2017,14:25:19.818,158
11_10_03_CH_ON,11/10/2017,14:25:20.314,14
11_10_03_CH_ON,11/10/2017,14:25:20.821,4
11_10_03_CH_ON,11/10/2017,14:25:21.315,11
11_10_03_CH_ON,11/10/2017,14:25:21.818,9
11_10_03_CH_ON,11/10/2017,14:25:22.320,11
11_10_03_CH_ON,11/10/2017,14:25:22.841,9
11_10_03_CH_ON,11/10/2017,14:25:23.343,9
11_10_03_CH_ON,11/10/2017,14:25:23.828,9
11_10_03_CH_ON,11/10/2017,14:25:24.319,9
11_10_03_CH_ON,11/10/2017,14:25:24.817,9
11_10_03_CH_ON,11/10/2017,14:25:25.325,9
11_10_03_CH_ON,11/10/2017,14:25:25.818,9
11_10_03_CH_ON,11/10/2017,14:25:26.319,9
11_10_03_CH_ON,11/10/2017,14:25:26.835,8
11_10_03_CH_ON,11/10/2017,14:25:27.340,9
11_10_03_CH_ON,11/10/2017,14:25:27.827,8
11_10_03_CH_ON,11/10/2017,14:25:28.358,8
11_10_03_CH_ON,11/10/2017,14:25:28.866,9
11_10_03_CH_ON,11/10/2017,14:25:29.348,9
11_10_03_CH_ON,11/10/2017,14:25:29.840,9
11_10_03_CH_ON,11/10/2017,14:25:30.320,9
11_10_03_CH_ON,11/10/2017,14:25:30.847,9
11_10_03_CH_ON,11/10/2017,14:25:31.319,9
11_10_03_CH_ON,11/10/2017,14:25:31.816,9
11_10_03_CH_ON,11/10/2017,14:25:32.325,8
11_10_03_CH_ON,11/10/2017,14:25:32.821,8
11_10_03_CH_ON,11/10/2017,14:25:33.342,8
11_10_03_CH_ON,11/10/2017,14:25:33.828,8
11_10_03_CH_ON,11/10/2017,14:25:34.352,8
11_10_03_CH_ON,11/10/2017,14:25:34.844,9
11_10_03_CH_ON,11/10/2017,14:25:35.317,9
11_10_03_CH_ON,11/10/2017,14:25:35.819,8
11_10_03_CH_ON,11/10/2017,14:25:36.322,9
11_10_03_CH_ON,11/10/2017,14:25:36.817,9
11_10_03_CH_ON,11/10/2017,14:25:37.318,9
11_10_03_CH_ON,11/10/2017,14:25:37.826,9
11_10_03_CH_ON,11/10/2017,14:25:38.330,8
11_10_03_CH_ON,11/10/2017,14:25:38.844,8
11_10_03_CH_ON,11/10/2017,14:25:39.330,9
11_10_03_CH_ON,11/10/2017,14:25:39.820,9
11_10_03_CH_ON,11/10/2017,14:25:40.320,9
11_10_03_CH_ON,11/10/2017,14:25:40.821,9
11_10_03_CH_ON,11/10/2017,14:25:41.319,9
11_10_03_CH_ON,11/10/2017,14:25:41.817,9
11_10_03_CH_ON,11/10/2017,14:25:42.324,9
11_10_03_CH_ON,11/10/2017,14:25:42.839,9
11_10_03_CH_ON,11/10/2017,14:25:43.330,8
11_10_03_CH_ON,11/10/2017,14:25:43.851,9
11_10_03_CH_ON,11/10/2017,14:25:44.354,9
11_10_03_CH_ON,11/10/2017,14:25:44.821,8
11_10_03_CH_ON,11/10/2017,14:25:45.325,9
