Patient ID, Date,Time,Brightness (LUX)
11_10_03_ET_OFF,11/10/2017,13:42:19.577,8
11_10_03_ET_OFF,11/10/2017,13:42:20.075,8
11_10_03_ET_OFF,11/10/2017,13:42:20.574,8
11_10_03_ET_OFF,11/10/2017,13:42:21.097,8
11_10_03_ET_OFF,11/10/2017,13:42:21.599,8
11_10_03_ET_OFF,11/10/2017,13:42:22.060,8
11_10_03_ET_OFF,11/10/2017,13:42:22.558,8
11_10_03_ET_OFF,11/10/2017,13:42:23.072,8
11_10_03_ET_OFF,11/10/2017,13:42:23.561,8
11_10_03_ET_OFF,11/10/2017,13:42:24.063,8
11_10_03_ET_OFF,11/10/2017,13:42:24.561,8
11_10_03_ET_OFF,11/10/2017,13:42:25.084,8
11_10_03_ET_OFF,11/10/2017,13:42:25.587,8
11_10_03_ET_OFF,11/10/2017,13:42:26.068,8
11_10_03_ET_OFF,11/10/2017,13:42:26.561,8
11_10_03_ET_OFF,11/10/2017,13:42:27.060,8
11_10_03_ET_OFF,11/10/2017,13:42:27.562,8
11_10_03_ET_OFF,11/10/2017,13:42:28.062,8
11_10_03_ET_OFF,11/10/2017,13:42:28.562,8
11_10_03_ET_OFF,11/10/2017,13:42:29.061,8
11_10_03_ET_OFF,11/10/2017,13:42:29.570,8
11_10_03_ET_OFF,11/10/2017,13:42:30.085,8
11_10_03_ET_OFF,11/10/2017,13:42:30.573,8
11_10_03_ET_OFF,11/10/2017,13:42:31.093,8
11_10_03_ET_OFF,11/10/2017,13:42:31.585,8
11_10_03_ET_OFF,11/10/2017,13:42:32.072,8
11_10_03_ET_OFF,11/10/2017,13:42:32.559,8
11_10_03_ET_OFF,11/10/2017,13:42:33.062,8
11_10_03_ET_OFF,11/10/2017,13:42:33.570,8
11_10_03_ET_OFF,11/10/2017,13:42:34.068,8
11_10_03_ET_OFF,11/10/2017,13:42:34.570,8
11_10_03_ET_OFF,11/10/2017,13:42:35.101,8
11_10_03_ET_OFF,11/10/2017,13:42:35.579,8
11_10_03_ET_OFF,11/10/2017,13:42:36.070,8
11_10_03_ET_OFF,11/10/2017,13:42:36.563,8
11_10_03_ET_OFF,11/10/2017,13:42:37.062,8
11_10_03_ET_OFF,11/10/2017,13:42:37.561,8
11_10_03_ET_OFF,11/10/2017,13:42:38.067,8
11_10_03_ET_OFF,11/10/2017,13:42:38.704,8
11_10_03_ET_OFF,11/10/2017,13:42:39.078,8
11_10_03_ET_OFF,11/10/2017,13:42:39.584,8
11_10_03_ET_OFF,11/10/2017,13:42:40.068,8
11_10_03_ET_OFF,11/10/2017,13:42:40.602,8
11_10_03_ET_OFF,11/10/2017,13:42:41.090,8
11_10_03_ET_OFF,11/10/2017,13:42:41.566,8
11_10_03_ET_OFF,11/10/2017,13:42:42.072,8
11_10_03_ET_OFF,11/10/2017,13:42:42.567,8
11_10_03_ET_OFF,11/10/2017,13:42:43.063,8
11_10_03_ET_OFF,11/10/2017,13:42:43.576,8
11_10_03_ET_OFF,11/10/2017,13:42:44.079,8
11_10_03_ET_OFF,11/10/2017,13:42:44.585,8
11_10_03_ET_OFF,11/10/2017,13:42:45.098,8
11_10_03_ET_OFF,11/10/2017,13:42:45.574,8
11_10_03_ET_OFF,11/10/2017,13:42:46.113,8
11_10_03_ET_OFF,11/10/2017,13:42:46.567,8
11_10_03_ET_OFF,11/10/2017,13:42:47.061,8
11_10_03_ET_OFF,11/10/2017,13:42:47.565,8
11_10_03_ET_OFF,11/10/2017,13:42:48.078,8
11_10_03_ET_OFF,11/10/2017,13:42:48.579,8
11_10_03_ET_OFF,11/10/2017,13:42:49.085,8
11_10_03_ET_OFF,11/10/2017,13:42:49.570,8
11_10_03_ET_OFF,11/10/2017,13:42:50.064,8
11_10_03_ET_OFF,11/10/2017,13:42:50.568,8
11_10_03_ET_OFF,11/10/2017,13:42:51.064,8
11_10_03_ET_OFF,11/10/2017,13:42:51.664,8
11_10_03_ET_OFF,11/10/2017,13:42:52.063,8
11_10_03_ET_OFF,11/10/2017,13:42:52.564,8
11_10_03_ET_OFF,11/10/2017,13:42:53.085,8
11_10_03_ET_OFF,11/10/2017,13:42:53.581,8
11_10_03_ET_OFF,11/10/2017,13:42:54.101,8
11_10_03_ET_OFF,11/10/2017,13:42:54.591,8
11_10_03_ET_OFF,11/10/2017,13:42:55.073,8
11_10_03_ET_OFF,11/10/2017,13:42:55.568,8
11_10_03_ET_OFF,11/10/2017,13:42:56.075,8
11_10_03_ET_OFF,11/10/2017,13:42:56.567,8
11_10_03_ET_OFF,11/10/2017,13:42:57.066,8
11_10_03_ET_OFF,11/10/2017,13:42:57.566,8
11_10_03_ET_OFF,11/10/2017,13:42:58.075,8
11_10_03_ET_OFF,11/10/2017,13:42:58.578,8
11_10_03_ET_OFF,11/10/2017,13:42:59.089,8
11_10_03_ET_OFF,11/10/2017,13:42:59.597,8
11_10_03_ET_OFF,11/10/2017,13:43:00.100,8
11_10_03_ET_OFF,11/10/2017,13:43:00.588,8
11_10_03_ET_OFF,11/10/2017,13:43:01.066,8
11_10_03_ET_OFF,11/10/2017,13:43:01.566,8
11_10_03_ET_OFF,11/10/2017,13:43:02.073,8
11_10_03_ET_OFF,11/10/2017,13:43:02.575,8
11_10_03_ET_OFF,11/10/2017,13:43:03.088,8
11_10_03_ET_OFF,11/10/2017,13:43:03.587,8
11_10_03_ET_OFF,11/10/2017,13:43:04.097,8
11_10_03_ET_OFF,11/10/2017,13:43:04.587,8
11_10_03_ET_OFF,11/10/2017,13:43:05.073,8
11_10_03_ET_OFF,11/10/2017,13:43:05.568,8
11_10_03_ET_OFF,11/10/2017,13:43:06.069,8
11_10_03_ET_OFF,11/10/2017,13:43:06.570,8
11_10_03_ET_OFF,11/10/2017,13:43:07.083,8
11_10_03_ET_OFF,11/10/2017,13:43:07.581,8
11_10_03_ET_OFF,11/10/2017,13:43:08.086,8
11_10_03_ET_OFF,11/10/2017,13:43:08.586,8
11_10_03_ET_OFF,11/10/2017,13:43:09.073,8
11_10_03_ET_OFF,11/10/2017,13:43:09.570,8
11_10_03_ET_OFF,11/10/2017,13:43:10.068,8
11_10_03_ET_OFF,11/10/2017,13:43:10.576,8
11_10_03_ET_OFF,11/10/2017,13:43:11.070,8
11_10_03_ET_OFF,11/10/2017,13:43:11.571,8
11_10_03_ET_OFF,11/10/2017,13:43:12.081,8
11_10_03_ET_OFF,11/10/2017,13:43:12.579,8
11_10_03_ET_OFF,11/10/2017,13:43:13.069,8
11_10_03_ET_OFF,11/10/2017,13:43:13.603,8
11_10_03_ET_OFF,11/10/2017,13:43:14.092,8
11_10_03_ET_OFF,11/10/2017,13:43:14.582,8
11_10_03_ET_OFF,11/10/2017,13:43:15.072,8
11_10_03_ET_OFF,11/10/2017,13:43:15.573,8
11_10_03_ET_OFF,11/10/2017,13:43:16.071,8
11_10_03_ET_OFF,11/10/2017,13:43:16.574,8
11_10_03_ET_OFF,11/10/2017,13:43:17.080,8
11_10_03_ET_OFF,11/10/2017,13:43:17.590,8
11_10_03_ET_OFF,11/10/2017,13:43:18.092,8
11_10_03_ET_OFF,11/10/2017,13:43:18.589,8
11_10_03_ET_OFF,11/10/2017,13:43:19.075,8
11_10_03_ET_OFF,11/10/2017,13:43:19.577,8
11_10_03_ET_OFF,11/10/2017,13:43:20.073,8
11_10_03_ET_OFF,11/10/2017,13:43:20.581,19
11_10_03_ET_OFF,11/10/2017,13:43:21.074,19
