Patient ID, Date,Time,Resistance (kOhm)
11_10_03_ET_ON,11/10/2017,13:47:00.109,1716
11_10_03_ET_ON,11/10/2017,13:47:00.299,1698
11_10_03_ET_ON,11/10/2017,13:47:00.535,1685
11_10_03_ET_ON,11/10/2017,13:47:00.702,1723
11_10_03_ET_ON,11/10/2017,13:47:00.899,1678
11_10_03_ET_ON,11/10/2017,13:47:01.124,1629
11_10_03_ET_ON,11/10/2017,13:47:01.301,1852
11_10_03_ET_ON,11/10/2017,13:47:01.522,1854
11_10_03_ET_ON,11/10/2017,13:47:01.693,1852
11_10_03_ET_ON,11/10/2017,13:47:01.898,2068
11_10_03_ET_ON,11/10/2017,13:47:02.108,3000
11_10_03_ET_ON,11/10/2017,13:47:02.296,2399
11_10_03_ET_ON,11/10/2017,13:47:02.492,1737
11_10_03_ET_ON,11/10/2017,13:47:02.717,1477
11_10_03_ET_ON,11/10/2017,13:47:02.889,1494
11_10_03_ET_ON,11/10/2017,13:47:03.090,1721
11_10_03_ET_ON,11/10/2017,13:47:03.313,1712
11_10_03_ET_ON,11/10/2017,13:47:03.489,1805
11_10_03_ET_ON,11/10/2017,13:47:03.689,1795
11_10_03_ET_ON,11/10/2017,13:47:03.920,1775
11_10_03_ET_ON,11/10/2017,13:47:04.090,1998
11_10_03_ET_ON,11/10/2017,13:47:04.290,1868
11_10_03_ET_ON,11/10/2017,13:47:04.486,1763
11_10_03_ET_ON,11/10/2017,13:47:04.681,1632
11_10_03_ET_ON,11/10/2017,13:47:04.925,1589
11_10_03_ET_ON,11/10/2017,13:47:05.093,1585
11_10_03_ET_ON,11/10/2017,13:47:05.280,1595
11_10_03_ET_ON,11/10/2017,13:47:05.512,1610
11_10_03_ET_ON,11/10/2017,13:47:05.699,1652
11_10_03_ET_ON,11/10/2017,13:47:05.880,1668
11_10_03_ET_ON,11/10/2017,13:47:06.102,1658
11_10_03_ET_ON,11/10/2017,13:47:06.288,1640
11_10_03_ET_ON,11/10/2017,13:47:06.478,1664
11_10_03_ET_ON,11/10/2017,13:47:06.681,1778
11_10_03_ET_ON,11/10/2017,13:47:06.888,1913
11_10_03_ET_ON,11/10/2017,13:47:07.150,1739
11_10_03_ET_ON,11/10/2017,13:47:07.302,1597
11_10_03_ET_ON,11/10/2017,13:47:07.475,1589
11_10_03_ET_ON,11/10/2017,13:47:07.672,1577
11_10_03_ET_ON,11/10/2017,13:47:07.904,1571
11_10_03_ET_ON,11/10/2017,13:47:08.070,1569
11_10_03_ET_ON,11/10/2017,13:47:08.279,1566
11_10_03_ET_ON,11/10/2017,13:47:08.485,1566
11_10_03_ET_ON,11/10/2017,13:47:08.672,1571
11_10_03_ET_ON,11/10/2017,13:47:08.868,1550
11_10_03_ET_ON,11/10/2017,13:47:09.066,1539
11_10_03_ET_ON,11/10/2017,13:47:09.267,1533
11_10_03_ET_ON,11/10/2017,13:47:09.465,1525
11_10_03_ET_ON,11/10/2017,13:47:09.689,1514
11_10_03_ET_ON,11/10/2017,13:47:09.867,1505
11_10_03_ET_ON,11/10/2017,13:47:10.100,1502
11_10_03_ET_ON,11/10/2017,13:47:10.275,1500
11_10_03_ET_ON,11/10/2017,13:47:10.460,1503
11_10_03_ET_ON,11/10/2017,13:47:10.678,1503
11_10_03_ET_ON,11/10/2017,13:47:10.870,1505
11_10_03_ET_ON,11/10/2017,13:47:11.060,1520
11_10_03_ET_ON,11/10/2017,13:47:11.267,1548
11_10_03_ET_ON,11/10/2017,13:47:11.458,1597
11_10_03_ET_ON,11/10/2017,13:47:11.657,1623
11_10_03_ET_ON,11/10/2017,13:47:11.895,1605
11_10_03_ET_ON,11/10/2017,13:47:12.062,1592
11_10_03_ET_ON,11/10/2017,13:47:12.252,1629
11_10_03_ET_ON,11/10/2017,13:47:12.482,1622
11_10_03_ET_ON,11/10/2017,13:47:12.662,1647
11_10_03_ET_ON,11/10/2017,13:47:12.857,1658
11_10_03_ET_ON,11/10/2017,13:47:13.066,1809
11_10_03_ET_ON,11/10/2017,13:47:13.250,1745
11_10_03_ET_ON,11/10/2017,13:47:13.450,1637
11_10_03_ET_ON,11/10/2017,13:47:13.659,1678
11_10_03_ET_ON,11/10/2017,13:47:13.859,1547
11_10_03_ET_ON,11/10/2017,13:47:14.052,1634
11_10_03_ET_ON,11/10/2017,13:47:14.267,1617
11_10_03_ET_ON,11/10/2017,13:47:14.446,1684
11_10_03_ET_ON,11/10/2017,13:47:14.646,1716
11_10_03_ET_ON,11/10/2017,13:47:14.855,1692
11_10_03_ET_ON,11/10/2017,13:47:15.041,1670
11_10_03_ET_ON,11/10/2017,13:47:15.259,1680
11_10_03_ET_ON,11/10/2017,13:47:15.455,1790
11_10_03_ET_ON,11/10/2017,13:47:15.642,1656
11_10_03_ET_ON,11/10/2017,13:47:15.855,1730
11_10_03_ET_ON,11/10/2017,13:47:16.040,1767
11_10_03_ET_ON,11/10/2017,13:47:16.240,1754
11_10_03_ET_ON,11/10/2017,13:47:16.438,1640
11_10_03_ET_ON,11/10/2017,13:47:16.648,1677
11_10_03_ET_ON,11/10/2017,13:47:16.838,1748
11_10_03_ET_ON,11/10/2017,13:47:17.058,1748
11_10_03_ET_ON,11/10/2017,13:47:17.236,1639
11_10_03_ET_ON,11/10/2017,13:47:17.435,1754
11_10_03_ET_ON,11/10/2017,13:47:17.658,1493
11_10_03_ET_ON,11/10/2017,13:47:17.834,1512
11_10_03_ET_ON,11/10/2017,13:47:18.048,1520
11_10_03_ET_ON,11/10/2017,13:47:18.235,1525
11_10_03_ET_ON,11/10/2017,13:47:18.430,1528
11_10_03_ET_ON,11/10/2017,13:47:18.680,1531
11_10_03_ET_ON,11/10/2017,13:47:18.841,1533
11_10_03_ET_ON,11/10/2017,13:47:19.028,1536
11_10_03_ET_ON,11/10/2017,13:47:19.257,1540
11_10_03_ET_ON,11/10/2017,13:47:19.448,1545
11_10_03_ET_ON,11/10/2017,13:47:19.625,1544
11_10_03_ET_ON,11/10/2017,13:47:19.848,1547
11_10_03_ET_ON,11/10/2017,13:47:20.033,1548
11_10_03_ET_ON,11/10/2017,13:47:20.231,1553
11_10_03_ET_ON,11/10/2017,13:47:20.428,1556
11_10_03_ET_ON,11/10/2017,13:47:20.633,1558
11_10_03_ET_ON,11/10/2017,13:47:20.821,1629
11_10_03_ET_ON,11/10/2017,13:47:21.050,1684
11_10_03_ET_ON,11/10/2017,13:47:21.220,1805
11_10_03_ET_ON,11/10/2017,13:47:21.419,1461
11_10_03_ET_ON,11/10/2017,13:47:21.645,1694
11_10_03_ET_ON,11/10/2017,13:47:21.820,1773
11_10_03_ET_ON,11/10/2017,13:47:22.021,1822
11_10_03_ET_ON,11/10/2017,13:47:22.232,1769
11_10_03_ET_ON,11/10/2017,13:47:22.425,1703
11_10_03_ET_ON,11/10/2017,13:47:22.614,1637
11_10_03_ET_ON,11/10/2017,13:47:22.816,1748
11_10_03_ET_ON,11/10/2017,13:47:23.010,2007
11_10_03_ET_ON,11/10/2017,13:47:23.210,1913
11_10_03_ET_ON,11/10/2017,13:47:23.426,2016
11_10_03_ET_ON,11/10/2017,13:47:23.610,1743
11_10_03_ET_ON,11/10/2017,13:47:23.840,1923
11_10_03_ET_ON,11/10/2017,13:47:24.020,1780
11_10_03_ET_ON,11/10/2017,13:47:24.213,1471
11_10_03_ET_ON,11/10/2017,13:47:24.423,1582
11_10_03_ET_ON,11/10/2017,13:47:24.628,1587
11_10_03_ET_ON,11/10/2017,13:47:24.807,1595
11_10_03_ET_ON,11/10/2017,13:47:25.011,1602
11_10_03_ET_ON,11/10/2017,13:47:25.206,1598
11_10_03_ET_ON,11/10/2017,13:47:25.401,1736
11_10_03_ET_ON,11/10/2017,13:47:25.645,1898
11_10_03_ET_ON,11/10/2017,13:47:25.822,1712
11_10_03_ET_ON,11/10/2017,13:47:26.013,1505
11_10_03_ET_ON,11/10/2017,13:47:26.198,1820
11_10_03_ET_ON,11/10/2017,13:47:26.421,1506
11_10_03_ET_ON,11/10/2017,13:47:26.598,1607
11_10_03_ET_ON,11/10/2017,13:47:26.811,1582
11_10_03_ET_ON,11/10/2017,13:47:27.009,1991
11_10_03_ET_ON,11/10/2017,13:47:27.196,1627
11_10_03_ET_ON,11/10/2017,13:47:27.399,1880
11_10_03_ET_ON,11/10/2017,13:47:27.594,1801
11_10_03_ET_ON,11/10/2017,13:47:27.798,1574
11_10_03_ET_ON,11/10/2017,13:47:28.029,1938
11_10_03_ET_ON,11/10/2017,13:47:28.203,1500
11_10_03_ET_ON,11/10/2017,13:47:28.394,1904
11_10_03_ET_ON,11/10/2017,13:47:28.617,1907
11_10_03_ET_ON,11/10/2017,13:47:28.796,1691
11_10_03_ET_ON,11/10/2017,13:47:28.988,2136
11_10_03_ET_ON,11/10/2017,13:47:29.203,1813
11_10_03_ET_ON,11/10/2017,13:47:29.388,1866
11_10_03_ET_ON,11/10/2017,13:47:29.588,1864
11_10_03_ET_ON,11/10/2017,13:47:29.788,1925
11_10_03_ET_ON,11/10/2017,13:47:29.997,1878
11_10_03_ET_ON,11/10/2017,13:47:30.187,1832
11_10_03_ET_ON,11/10/2017,13:47:30.407,1732
11_10_03_ET_ON,11/10/2017,13:47:30.585,1921
11_10_03_ET_ON,11/10/2017,13:47:30.786,1799
11_10_03_ET_ON,11/10/2017,13:47:31.003,1880
11_10_03_ET_ON,11/10/2017,13:47:31.179,1996
11_10_03_ET_ON,11/10/2017,13:47:31.379,1613
11_10_03_ET_ON,11/10/2017,13:47:31.590,1797
11_10_03_ET_ON,11/10/2017,13:47:31.779,1811
11_10_03_ET_ON,11/10/2017,13:47:31.982,1760
11_10_03_ET_ON,11/10/2017,13:47:32.181,1850
11_10_03_ET_ON,11/10/2017,13:47:32.419,1902
11_10_03_ET_ON,11/10/2017,13:47:32.590,1545
11_10_03_ET_ON,11/10/2017,13:47:32.775,1668
11_10_03_ET_ON,11/10/2017,13:47:33.005,1673
11_10_03_ET_ON,11/10/2017,13:47:33.245,1677
11_10_03_ET_ON,11/10/2017,13:47:33.373,1680
11_10_03_ET_ON,11/10/2017,13:47:33.591,1680
11_10_03_ET_ON,11/10/2017,13:47:33.781,1680
11_10_03_ET_ON,11/10/2017,13:47:33.979,1684
11_10_03_ET_ON,11/10/2017,13:47:34.175,1685
11_10_03_ET_ON,11/10/2017,13:47:34.379,1680
11_10_03_ET_ON,11/10/2017,13:47:34.570,1680
11_10_03_ET_ON,11/10/2017,13:47:34.797,1684
11_10_03_ET_ON,11/10/2017,13:47:34.968,1684
11_10_03_ET_ON,11/10/2017,13:47:35.164,1687
11_10_03_ET_ON,11/10/2017,13:47:35.393,1691
11_10_03_ET_ON,11/10/2017,13:47:35.563,1983
11_10_03_ET_ON,11/10/2017,13:47:35.763,1880
11_10_03_ET_ON,11/10/2017,13:47:35.980,1942
11_10_03_ET_ON,11/10/2017,13:47:36.174,1936
11_10_03_ET_ON,11/10/2017,13:47:36.360,2000
11_10_03_ET_ON,11/10/2017,13:47:36.571,1691
11_10_03_ET_ON,11/10/2017,13:47:36.758,1589
11_10_03_ET_ON,11/10/2017,13:47:36.959,1701
11_10_03_ET_ON,11/10/2017,13:47:37.180,1714
11_10_03_ET_ON,11/10/2017,13:47:37.355,1712
11_10_03_ET_ON,11/10/2017,13:47:37.588,1710
11_10_03_ET_ON,11/10/2017,13:47:37.770,2020
11_10_03_ET_ON,11/10/2017,13:47:37.968,1590
11_10_03_ET_ON,11/10/2017,13:47:38.173,1682
11_10_03_ET_ON,11/10/2017,13:47:38.371,1692
11_10_03_ET_ON,11/10/2017,13:47:38.556,1747
11_10_03_ET_ON,11/10/2017,13:47:38.758,1615
11_10_03_ET_ON,11/10/2017,13:47:38.953,1716
11_10_03_ET_ON,11/10/2017,13:47:39.149,1725
11_10_03_ET_ON,11/10/2017,13:47:39.348,1725
11_10_03_ET_ON,11/10/2017,13:47:39.559,1727
11_10_03_ET_ON,11/10/2017,13:47:39.748,1727
11_10_03_ET_ON,11/10/2017,13:47:39.977,1732
11_10_03_ET_ON,11/10/2017,13:47:40.165,1747
11_10_03_ET_ON,11/10/2017,13:47:40.343,1942
11_10_03_ET_ON,11/10/2017,13:47:40.561,2068
11_10_03_ET_ON,11/10/2017,13:47:40.743,1630
11_10_03_ET_ON,11/10/2017,13:47:40.942,1747
11_10_03_ET_ON,11/10/2017,13:47:41.152,1748
11_10_03_ET_ON,11/10/2017,13:47:41.349,1752
11_10_03_ET_ON,11/10/2017,13:47:41.539,1756
11_10_03_ET_ON,11/10/2017,13:47:41.765,1758
