Patient ID, Date,Time,Brightness (LUX)
11_10_03_MT_ON,11/10/2017,13:33:01.399,71
11_10_03_MT_ON,11/10/2017,13:33:01.898,57
11_10_03_MT_ON,11/10/2017,13:33:02.398,60
11_10_03_MT_ON,11/10/2017,13:33:02.910,58
11_10_03_MT_ON,11/10/2017,13:33:03.402,55
11_10_03_MT_ON,11/10/2017,13:33:03.927,47
11_10_03_MT_ON,11/10/2017,13:33:04.425,52
11_10_03_MT_ON,11/10/2017,13:33:04.897,49
11_10_03_MT_ON,11/10/2017,13:33:05.409,47
11_10_03_MT_ON,11/10/2017,13:33:05.900,46
11_10_03_MT_ON,11/10/2017,13:33:06.398,46
11_10_03_MT_ON,11/10/2017,13:33:06.900,47
11_10_03_MT_ON,11/10/2017,13:33:07.407,44
11_10_03_MT_ON,11/10/2017,13:33:07.921,42
11_10_03_MT_ON,11/10/2017,13:33:08.418,60
11_10_03_MT_ON,11/10/2017,13:33:08.912,274
11_10_03_MT_ON,11/10/2017,13:33:09.398,138
11_10_03_MT_ON,11/10/2017,13:33:09.937,166
11_10_03_MT_ON,11/10/2017,13:33:10.402,137
11_10_03_MT_ON,11/10/2017,13:33:10.902,131
11_10_03_MT_ON,11/10/2017,13:33:11.402,119
11_10_03_MT_ON,11/10/2017,13:33:11.904,121
11_10_03_MT_ON,11/10/2017,13:33:12.410,130
11_10_03_MT_ON,11/10/2017,13:33:12.908,131
11_10_03_MT_ON,11/10/2017,13:33:13.400,75
11_10_03_MT_ON,11/10/2017,13:33:13.933,85
11_10_03_MT_ON,11/10/2017,13:33:14.419,83
11_10_03_MT_ON,11/10/2017,13:33:14.901,88
11_10_03_MT_ON,11/10/2017,13:33:15.401,85
11_10_03_MT_ON,11/10/2017,13:33:15.947,83
11_10_03_MT_ON,11/10/2017,13:33:16.401,87
11_10_03_MT_ON,11/10/2017,13:33:16.910,87
11_10_03_MT_ON,11/10/2017,13:33:17.418,85
11_10_03_MT_ON,11/10/2017,13:33:17.949,85
11_10_03_MT_ON,11/10/2017,13:33:18.406,83
11_10_03_MT_ON,11/10/2017,13:33:18.914,83
11_10_03_MT_ON,11/10/2017,13:33:19.429,85
11_10_03_MT_ON,11/10/2017,13:33:19.938,85
11_10_03_MT_ON,11/10/2017,13:33:20.417,85
11_10_03_MT_ON,11/10/2017,13:33:20.901,85
11_10_03_MT_ON,11/10/2017,13:33:21.402,85
11_10_03_MT_ON,11/10/2017,13:33:21.899,85
11_10_03_MT_ON,11/10/2017,13:33:22.405,85
11_10_03_MT_ON,11/10/2017,13:33:22.907,85
11_10_03_MT_ON,11/10/2017,13:33:23.421,85
11_10_03_MT_ON,11/10/2017,13:33:23.940,87
11_10_03_MT_ON,11/10/2017,13:33:24.415,87
11_10_03_MT_ON,11/10/2017,13:33:24.904,87
11_10_03_MT_ON,11/10/2017,13:33:25.401,87
11_10_03_MT_ON,11/10/2017,13:33:25.903,87
11_10_03_MT_ON,11/10/2017,13:33:26.401,85
11_10_03_MT_ON,11/10/2017,13:33:26.909,87
11_10_03_MT_ON,11/10/2017,13:33:27.409,87
11_10_03_MT_ON,11/10/2017,13:33:27.920,87
11_10_03_MT_ON,11/10/2017,13:33:28.410,85
11_10_03_MT_ON,11/10/2017,13:33:28.937,87
11_10_03_MT_ON,11/10/2017,13:33:29.436,85
11_10_03_MT_ON,11/10/2017,13:33:29.908,85
11_10_03_MT_ON,11/10/2017,13:33:30.411,85
11_10_03_MT_ON,11/10/2017,13:33:30.905,87
11_10_03_MT_ON,11/10/2017,13:33:31.404,87
11_10_03_MT_ON,11/10/2017,13:33:31.910,85
11_10_03_MT_ON,11/10/2017,13:33:32.411,85
11_10_03_MT_ON,11/10/2017,13:33:32.929,87
11_10_03_MT_ON,11/10/2017,13:33:33.433,90
11_10_03_MT_ON,11/10/2017,13:33:33.929,90
11_10_03_MT_ON,11/10/2017,13:33:34.408,88
11_10_03_MT_ON,11/10/2017,13:33:34.907,85
11_10_03_MT_ON,11/10/2017,13:33:35.406,85
11_10_03_MT_ON,11/10/2017,13:33:35.905,85
11_10_03_MT_ON,11/10/2017,13:33:36.405,87
11_10_03_MT_ON,11/10/2017,13:33:36.906,85
11_10_03_MT_ON,11/10/2017,13:33:37.416,83
11_10_03_MT_ON,11/10/2017,13:33:37.928,80
11_10_03_MT_ON,11/10/2017,13:33:38.418,82
11_10_03_MT_ON,11/10/2017,13:33:38.943,82
11_10_03_MT_ON,11/10/2017,13:33:39.406,80
11_10_03_MT_ON,11/10/2017,13:33:39.907,80
11_10_03_MT_ON,11/10/2017,13:33:40.409,85
11_10_03_MT_ON,11/10/2017,13:33:40.908,85
11_10_03_MT_ON,11/10/2017,13:33:41.411,71
11_10_03_MT_ON,11/10/2017,13:33:41.929,126
11_10_03_MT_ON,11/10/2017,13:33:42.417,127
11_10_03_MT_ON,11/10/2017,13:33:42.949,124
11_10_03_MT_ON,11/10/2017,13:33:43.427,123
11_10_03_MT_ON,11/10/2017,13:33:43.917,101
11_10_03_MT_ON,11/10/2017,13:33:44.408,110
11_10_03_MT_ON,11/10/2017,13:33:44.907,121
11_10_03_MT_ON,11/10/2017,13:33:45.408,138
11_10_03_MT_ON,11/10/2017,13:33:45.912,154
11_10_03_MT_ON,11/10/2017,13:33:46.410,162
11_10_03_MT_ON,11/10/2017,13:33:46.925,135
11_10_03_MT_ON,11/10/2017,13:33:47.425,129
11_10_03_MT_ON,11/10/2017,13:33:47.915,129
11_10_03_MT_ON,11/10/2017,13:33:48.436,127
11_10_03_MT_ON,11/10/2017,13:33:48.936,143
11_10_03_MT_ON,11/10/2017,13:33:49.409,141
11_10_03_MT_ON,11/10/2017,13:33:49.910,130
11_10_03_MT_ON,11/10/2017,13:33:50.418,146
11_10_03_MT_ON,11/10/2017,13:33:50.910,138
11_10_03_MT_ON,11/10/2017,13:33:51.418,146
11_10_03_MT_ON,11/10/2017,13:33:51.919,172
11_10_03_MT_ON,11/10/2017,13:33:52.429,190
11_10_03_MT_ON,11/10/2017,13:33:52.934,184
11_10_03_MT_ON,11/10/2017,13:33:53.418,188
11_10_03_MT_ON,11/10/2017,13:33:53.956,204
11_10_03_MT_ON,11/10/2017,13:33:54.408,204
11_10_03_MT_ON,11/10/2017,13:33:54.973,192
11_10_03_MT_ON,11/10/2017,13:33:55.408,188
11_10_03_MT_ON,11/10/2017,13:33:55.909,195
11_10_03_MT_ON,11/10/2017,13:33:56.417,177
11_10_03_MT_ON,11/10/2017,13:33:56.939,185
11_10_03_MT_ON,11/10/2017,13:33:57.428,204
11_10_03_MT_ON,11/10/2017,13:33:57.909,201
11_10_03_MT_ON,11/10/2017,13:33:58.410,203
11_10_03_MT_ON,11/10/2017,13:33:58.915,196
11_10_03_MT_ON,11/10/2017,13:33:59.421,195
11_10_03_MT_ON,11/10/2017,13:33:59.909,199
11_10_03_MT_ON,11/10/2017,13:34:00.411,204
11_10_03_MT_ON,11/10/2017,13:34:00.923,193
11_10_03_MT_ON,11/10/2017,13:34:01.427,188
11_10_03_MT_ON,11/10/2017,13:34:01.950,187
11_10_03_MT_ON,11/10/2017,13:34:02.440,171
11_10_03_MT_ON,11/10/2017,13:34:02.912,179
