Patient ID, Date,Time,Resistance (kOhm)
11_10_03_VA_OFF,11/10/2017,13:56:34.402,664
11_10_03_VA_OFF,11/10/2017,13:56:34.640,668
11_10_03_VA_OFF,11/10/2017,13:56:34.817,673
11_10_03_VA_OFF,11/10/2017,13:56:34.997,678
11_10_03_VA_OFF,11/10/2017,13:56:35.200,682
11_10_03_VA_OFF,11/10/2017,13:56:35.398,684
11_10_03_VA_OFF,11/10/2017,13:56:35.592,688
11_10_03_VA_OFF,11/10/2017,13:56:35.787,691
11_10_03_VA_OFF,11/10/2017,13:56:36.002,693
11_10_03_VA_OFF,11/10/2017,13:56:36.195,697
11_10_03_VA_OFF,11/10/2017,13:56:36.422,698
11_10_03_VA_OFF,11/10/2017,13:56:36.597,700
11_10_03_VA_OFF,11/10/2017,13:56:36.786,701
11_10_03_VA_OFF,11/10/2017,13:56:37.005,701
11_10_03_VA_OFF,11/10/2017,13:56:37.188,703
11_10_03_VA_OFF,11/10/2017,13:56:37.380,703
11_10_03_VA_OFF,11/10/2017,13:56:37.591,705
11_10_03_VA_OFF,11/10/2017,13:56:37.791,706
11_10_03_VA_OFF,11/10/2017,13:56:37.979,708
11_10_03_VA_OFF,11/10/2017,13:56:38.181,710
11_10_03_VA_OFF,11/10/2017,13:56:38.385,710
11_10_03_VA_OFF,11/10/2017,13:56:38.576,712
11_10_03_VA_OFF,11/10/2017,13:56:38.804,713
11_10_03_VA_OFF,11/10/2017,13:56:38.974,714
11_10_03_VA_OFF,11/10/2017,13:56:39.173,715
11_10_03_VA_OFF,11/10/2017,13:56:39.394,715
11_10_03_VA_OFF,11/10/2017,13:56:39.576,716
11_10_03_VA_OFF,11/10/2017,13:56:39.786,717
11_10_03_VA_OFF,11/10/2017,13:56:39.979,716
11_10_03_VA_OFF,11/10/2017,13:56:40.179,718
11_10_03_VA_OFF,11/10/2017,13:56:40.369,718
11_10_03_VA_OFF,11/10/2017,13:56:40.571,719
11_10_03_VA_OFF,11/10/2017,13:56:40.768,720
11_10_03_VA_OFF,11/10/2017,13:56:41.004,722
11_10_03_VA_OFF,11/10/2017,13:56:41.182,723
11_10_03_VA_OFF,11/10/2017,13:56:41.365,723
11_10_03_VA_OFF,11/10/2017,13:56:41.590,723
11_10_03_VA_OFF,11/10/2017,13:56:41.780,724
11_10_03_VA_OFF,11/10/2017,13:56:41.971,726
11_10_03_VA_OFF,11/10/2017,13:56:42.173,728
11_10_03_VA_OFF,11/10/2017,13:56:42.380,728
11_10_03_VA_OFF,11/10/2017,13:56:42.565,730
11_10_03_VA_OFF,11/10/2017,13:56:42.757,731
11_10_03_VA_OFF,11/10/2017,13:56:42.963,731
11_10_03_VA_OFF,11/10/2017,13:56:43.160,733
11_10_03_VA_OFF,11/10/2017,13:56:43.436,733
11_10_03_VA_OFF,11/10/2017,13:56:43.557,735
11_10_03_VA_OFF,11/10/2017,13:56:43.756,736
11_10_03_VA_OFF,11/10/2017,13:56:43.979,737
11_10_03_VA_OFF,11/10/2017,13:56:44.163,738
11_10_03_VA_OFF,11/10/2017,13:56:44.351,740
11_10_03_VA_OFF,11/10/2017,13:56:44.568,740
11_10_03_VA_OFF,11/10/2017,13:56:44.751,740
11_10_03_VA_OFF,11/10/2017,13:56:44.953,740
11_10_03_VA_OFF,11/10/2017,13:56:45.169,739
11_10_03_VA_OFF,11/10/2017,13:56:45.356,740
11_10_03_VA_OFF,11/10/2017,13:56:45.546,742
11_10_03_VA_OFF,11/10/2017,13:56:45.769,742
11_10_03_VA_OFF,11/10/2017,13:56:45.955,742
11_10_03_VA_OFF,11/10/2017,13:56:46.172,743
11_10_03_VA_OFF,11/10/2017,13:56:46.374,744
11_10_03_VA_OFF,11/10/2017,13:56:46.551,745
11_10_03_VA_OFF,11/10/2017,13:56:46.744,746
11_10_03_VA_OFF,11/10/2017,13:56:46.954,746
11_10_03_VA_OFF,11/10/2017,13:56:47.141,748
11_10_03_VA_OFF,11/10/2017,13:56:47.345,748
11_10_03_VA_OFF,11/10/2017,13:56:47.558,749
11_10_03_VA_OFF,11/10/2017,13:56:47.751,750
11_10_03_VA_OFF,11/10/2017,13:56:47.976,751
11_10_03_VA_OFF,11/10/2017,13:56:48.161,751
11_10_03_VA_OFF,11/10/2017,13:56:48.340,751
11_10_03_VA_OFF,11/10/2017,13:56:48.561,753
11_10_03_VA_OFF,11/10/2017,13:56:48.744,754
11_10_03_VA_OFF,11/10/2017,13:56:48.936,754
