Patient ID, Date,Time,Brightness (LUX)
11_10_03_VA_OFF,11/10/2017,13:56:33.911,9
11_10_03_VA_OFF,11/10/2017,13:56:34.406,9
11_10_03_VA_OFF,11/10/2017,13:56:34.920,9
11_10_03_VA_OFF,11/10/2017,13:56:35.409,9
11_10_03_VA_OFF,11/10/2017,13:56:35.917,9
11_10_03_VA_OFF,11/10/2017,13:56:36.431,9
11_10_03_VA_OFF,11/10/2017,13:56:36.910,9
11_10_03_VA_OFF,11/10/2017,13:56:37.396,9
11_10_03_VA_OFF,11/10/2017,13:56:37.899,9
11_10_03_VA_OFF,11/10/2017,13:56:38.410,9
11_10_03_VA_OFF,11/10/2017,13:56:38.903,9
11_10_03_VA_OFF,11/10/2017,13:56:39.402,9
11_10_03_VA_OFF,11/10/2017,13:56:39.905,9
11_10_03_VA_OFF,11/10/2017,13:56:40.416,9
11_10_03_VA_OFF,11/10/2017,13:56:40.907,9
11_10_03_VA_OFF,11/10/2017,13:56:41.398,9
11_10_03_VA_OFF,11/10/2017,13:56:41.931,9
11_10_03_VA_OFF,11/10/2017,13:56:42.419,9
11_10_03_VA_OFF,11/10/2017,13:56:42.909,9
11_10_03_VA_OFF,11/10/2017,13:56:43.441,9
11_10_03_VA_OFF,11/10/2017,13:56:43.906,8
11_10_03_VA_OFF,11/10/2017,13:56:44.407,6
11_10_03_VA_OFF,11/10/2017,13:56:44.905,8
11_10_03_VA_OFF,11/10/2017,13:56:45.442,8
11_10_03_VA_OFF,11/10/2017,13:56:45.928,8
11_10_03_VA_OFF,11/10/2017,13:56:46.402,8
11_10_03_VA_OFF,11/10/2017,13:56:46.899,8
11_10_03_VA_OFF,11/10/2017,13:56:47.409,8
11_10_03_VA_OFF,11/10/2017,13:56:47.910,8
11_10_03_VA_OFF,11/10/2017,13:56:48.420,8
11_10_03_VA_OFF,11/10/2017,13:56:48.907,8
11_10_03_VA_OFF,11/10/2017,13:56:49.426,8
11_10_03_VA_OFF,11/10/2017,13:56:49.926,8
11_10_03_VA_OFF,11/10/2017,13:56:50.410,8
11_10_03_VA_OFF,11/10/2017,13:56:50.904,9
11_10_03_VA_OFF,11/10/2017,13:56:51.436,8
11_10_03_VA_OFF,11/10/2017,13:56:51.925,8
11_10_03_VA_OFF,11/10/2017,13:56:52.402,8
11_10_03_VA_OFF,11/10/2017,13:56:52.914,8
11_10_03_VA_OFF,11/10/2017,13:56:53.421,8
11_10_03_VA_OFF,11/10/2017,13:56:53.909,8
11_10_03_VA_OFF,11/10/2017,13:56:54.421,8
11_10_03_VA_OFF,11/10/2017,13:56:54.921,8
11_10_03_VA_OFF,11/10/2017,13:56:55.433,8
11_10_03_VA_OFF,11/10/2017,13:56:55.914,8
11_10_03_VA_OFF,11/10/2017,13:56:56.420,8
11_10_03_VA_OFF,11/10/2017,13:56:56.907,6
11_10_03_VA_OFF,11/10/2017,13:56:57.407,6
11_10_03_VA_OFF,11/10/2017,13:56:57.934,6
11_10_03_VA_OFF,11/10/2017,13:56:58.407,6
11_10_03_VA_OFF,11/10/2017,13:56:58.940,6
11_10_03_VA_OFF,11/10/2017,13:56:59.432,6
11_10_03_VA_OFF,11/10/2017,13:56:59.903,6
11_10_03_VA_OFF,11/10/2017,13:57:00.405,8
11_10_03_VA_OFF,11/10/2017,13:57:00.903,6
11_10_03_VA_OFF,11/10/2017,13:57:01.405,6
11_10_03_VA_OFF,11/10/2017,13:57:01.919,6
11_10_03_VA_OFF,11/10/2017,13:57:02.415,6
11_10_03_VA_OFF,11/10/2017,13:57:02.927,6
11_10_03_VA_OFF,11/10/2017,13:57:03.430,6
11_10_03_VA_OFF,11/10/2017,13:57:03.915,6
11_10_03_VA_OFF,11/10/2017,13:57:04.405,6
11_10_03_VA_OFF,11/10/2017,13:57:04.905,6
11_10_03_VA_OFF,11/10/2017,13:57:05.408,6
11_10_03_VA_OFF,11/10/2017,13:57:05.924,6
11_10_03_VA_OFF,11/10/2017,13:57:06.406,6
11_10_03_VA_OFF,11/10/2017,13:57:06.929,6
11_10_03_VA_OFF,11/10/2017,13:57:07.434,6
11_10_03_VA_OFF,11/10/2017,13:57:07.985,6
11_10_03_VA_OFF,11/10/2017,13:57:08.406,6
11_10_03_VA_OFF,11/10/2017,13:57:09.011,6
11_10_03_VA_OFF,11/10/2017,13:57:09.407,1
11_10_03_VA_OFF,11/10/2017,13:57:09.906,1
11_10_03_VA_OFF,11/10/2017,13:57:10.415,1
11_10_03_VA_OFF,11/10/2017,13:57:10.908,1
11_10_03_VA_OFF,11/10/2017,13:57:11.420,3
11_10_03_VA_OFF,11/10/2017,13:57:11.914,1
11_10_03_VA_OFF,11/10/2017,13:57:12.431,3
11_10_03_VA_OFF,11/10/2017,13:57:12.935,1
11_10_03_VA_OFF,11/10/2017,13:57:13.423,1
11_10_03_VA_OFF,11/10/2017,13:57:13.909,3
11_10_03_VA_OFF,11/10/2017,13:57:14.411,4
11_10_03_VA_OFF,11/10/2017,13:57:14.905,4
11_10_03_VA_OFF,11/10/2017,13:57:15.405,4
11_10_03_VA_OFF,11/10/2017,13:57:15.914,4
11_10_03_VA_OFF,11/10/2017,13:57:16.418,4
11_10_03_VA_OFF,11/10/2017,13:57:16.930,4
11_10_03_VA_OFF,11/10/2017,13:57:17.421,4
11_10_03_VA_OFF,11/10/2017,13:57:17.921,4
11_10_03_VA_OFF,11/10/2017,13:57:18.445,4
11_10_03_VA_OFF,11/10/2017,13:57:18.909,4
11_10_03_VA_OFF,11/10/2017,13:57:19.405,4
11_10_03_VA_OFF,11/10/2017,13:57:19.911,4
11_10_03_VA_OFF,11/10/2017,13:57:20.412,4
11_10_03_VA_OFF,11/10/2017,13:57:20.926,4
11_10_03_VA_OFF,11/10/2017,13:57:21.431,4
11_10_03_VA_OFF,11/10/2017,13:57:21.908,4
11_10_03_VA_OFF,11/10/2017,13:57:22.451,4
11_10_03_VA_OFF,11/10/2017,13:57:22.910,4
11_10_03_VA_OFF,11/10/2017,13:57:23.406,4
11_10_03_VA_OFF,11/10/2017,13:57:23.906,4
11_10_03_VA_OFF,11/10/2017,13:57:24.413,4
11_10_03_VA_OFF,11/10/2017,13:57:24.925,4
11_10_03_VA_OFF,11/10/2017,13:57:25.432,4
11_10_03_VA_OFF,11/10/2017,13:57:25.926,4
11_10_03_VA_OFF,11/10/2017,13:57:26.426,4
11_10_03_VA_OFF,11/10/2017,13:57:26.925,4
11_10_03_VA_OFF,11/10/2017,13:57:27.411,4
11_10_03_VA_OFF,11/10/2017,13:57:27.912,4
11_10_03_VA_OFF,11/10/2017,13:57:28.410,4
11_10_03_VA_OFF,11/10/2017,13:57:28.911,4
11_10_03_VA_OFF,11/10/2017,13:57:29.410,4
11_10_03_VA_OFF,11/10/2017,13:57:29.920,4
11_10_03_VA_OFF,11/10/2017,13:57:30.422,4
11_10_03_VA_OFF,11/10/2017,13:57:30.922,4
11_10_03_VA_OFF,11/10/2017,13:57:31.414,4
11_10_03_VA_OFF,11/10/2017,13:57:31.947,4
11_10_03_VA_OFF,11/10/2017,13:57:32.436,4
11_10_03_VA_OFF,11/10/2017,13:57:32.913,4
11_10_03_VA_OFF,11/10/2017,13:57:33.410,4
11_10_03_VA_OFF,11/10/2017,13:57:33.909,4
11_10_03_VA_OFF,11/10/2017,13:57:34.411,4
11_10_03_VA_OFF,11/10/2017,13:57:34.920,4
11_10_03_VA_OFF,11/10/2017,13:57:35.412,4
11_10_03_VA_OFF,11/10/2017,13:57:35.942,4
11_10_03_VA_OFF,11/10/2017,13:57:36.433,4
11_10_03_VA_OFF,11/10/2017,13:57:36.920,4
11_10_03_VA_OFF,11/10/2017,13:57:37.412,4
11_10_03_VA_OFF,11/10/2017,13:57:37.915,4
11_10_03_VA_OFF,11/10/2017,13:57:38.413,3
11_10_03_VA_OFF,11/10/2017,13:57:38.921,6
11_10_03_VA_OFF,11/10/2017,13:57:39.417,11
11_10_03_VA_OFF,11/10/2017,13:57:39.930,11
11_10_03_VA_OFF,11/10/2017,13:57:40.434,3
11_10_03_VA_OFF,11/10/2017,13:57:40.916,3
11_10_03_VA_OFF,11/10/2017,13:57:41.442,1
11_10_03_VA_OFF,11/10/2017,13:57:41.942,0
11_10_03_VA_OFF,11/10/2017,13:57:42.416,3
11_10_03_VA_OFF,11/10/2017,13:57:42.913,3
11_10_03_VA_OFF,11/10/2017,13:57:43.414,4
11_10_03_VA_OFF,11/10/2017,13:57:43.914,3
11_10_03_VA_OFF,11/10/2017,13:57:44.412,1
11_10_03_VA_OFF,11/10/2017,13:57:44.913,3
11_10_03_VA_OFF,11/10/2017,13:57:45.437,4
11_10_03_VA_OFF,11/10/2017,13:57:45.965,1
11_10_03_VA_OFF,11/10/2017,13:57:46.427,3
11_10_03_VA_OFF,11/10/2017,13:57:46.961,1
11_10_03_VA_OFF,11/10/2017,13:57:47.416,3
11_10_03_VA_OFF,11/10/2017,13:57:47.926,3
11_10_03_VA_OFF,11/10/2017,13:57:48.419,3
11_10_03_VA_OFF,11/10/2017,13:57:48.922,3
11_10_03_VA_OFF,11/10/2017,13:57:49.421,1
11_10_03_VA_OFF,11/10/2017,13:57:49.944,1
11_10_03_VA_OFF,11/10/2017,13:57:50.424,1
11_10_03_VA_OFF,11/10/2017,13:57:50.921,3
11_10_03_VA_OFF,11/10/2017,13:57:51.416,6
11_10_03_VA_OFF,11/10/2017,13:57:51.917,1
11_10_03_VA_OFF,11/10/2017,13:57:52.418,3
11_10_03_VA_OFF,11/10/2017,13:57:52.927,1
11_10_03_VA_OFF,11/10/2017,13:57:53.420,1
11_10_03_VA_OFF,11/10/2017,13:57:53.931,3
11_10_03_VA_OFF,11/10/2017,13:57:54.420,3
11_10_03_VA_OFF,11/10/2017,13:57:54.947,3
11_10_03_VA_OFF,11/10/2017,13:57:55.442,3
11_10_03_VA_OFF,11/10/2017,13:57:55.932,3
11_10_03_VA_OFF,11/10/2017,13:57:56.421,3
11_10_03_VA_OFF,11/10/2017,13:57:56.919,1
11_10_03_VA_OFF,11/10/2017,13:57:57.421,1
11_10_03_VA_OFF,11/10/2017,13:57:57.921,3
11_10_03_VA_OFF,11/10/2017,13:57:58.420,3
11_10_03_VA_OFF,11/10/2017,13:57:58.920,3
11_10_03_VA_OFF,11/10/2017,13:57:59.426,3
11_10_03_VA_OFF,11/10/2017,13:57:59.931,3
11_10_03_VA_OFF,11/10/2017,13:58:00.420,3
11_10_03_VA_OFF,11/10/2017,13:58:00.955,3
11_10_03_VA_OFF,11/10/2017,13:58:01.442,4
11_10_03_VA_OFF,11/10/2017,13:58:01.924,4
11_10_03_VA_OFF,11/10/2017,13:58:02.426,4
11_10_03_VA_OFF,11/10/2017,13:58:02.968,4
11_10_03_VA_OFF,11/10/2017,13:58:03.423,4
11_10_03_VA_OFF,11/10/2017,13:58:03.926,6
11_10_03_VA_OFF,11/10/2017,13:58:04.437,4
11_10_03_VA_OFF,11/10/2017,13:58:04.950,4
11_10_03_VA_OFF,11/10/2017,13:58:05.441,4
11_10_03_VA_OFF,11/10/2017,13:58:05.923,6
11_10_03_VA_OFF,11/10/2017,13:58:06.420,6
11_10_03_VA_OFF,11/10/2017,13:58:06.924,6
11_10_03_VA_OFF,11/10/2017,13:58:07.422,6
11_10_03_VA_OFF,11/10/2017,13:58:07.923,3
11_10_03_VA_OFF,11/10/2017,13:58:08.436,8
11_10_03_VA_OFF,11/10/2017,13:58:08.947,8
11_10_03_VA_OFF,11/10/2017,13:58:09.449,8
11_10_03_VA_OFF,11/10/2017,13:58:09.921,6
11_10_03_VA_OFF,11/10/2017,13:58:10.427,8
11_10_03_VA_OFF,11/10/2017,13:58:10.948,8
11_10_03_VA_OFF,11/10/2017,13:58:11.429,8
11_10_03_VA_OFF,11/10/2017,13:58:11.921,8
11_10_03_VA_OFF,11/10/2017,13:58:12.422,4
11_10_03_VA_OFF,11/10/2017,13:58:12.922,6
11_10_03_VA_OFF,11/10/2017,13:58:13.442,6
11_10_03_VA_OFF,11/10/2017,13:58:13.919,6
11_10_03_VA_OFF,11/10/2017,13:58:14.452,4
11_10_03_VA_OFF,11/10/2017,13:58:14.948,4
11_10_03_VA_OFF,11/10/2017,13:58:15.432,6
11_10_03_VA_OFF,11/10/2017,13:58:15.929,6
11_10_03_VA_OFF,11/10/2017,13:58:16.448,6
11_10_03_VA_OFF,11/10/2017,13:58:16.922,4
11_10_03_VA_OFF,11/10/2017,13:58:17.435,8
