Patient ID, Date,Time,Brightness (LUX)
11_10_03_VA_ON,11/10/2017,14:01:11.464,379
11_10_03_VA_ON,11/10/2017,14:01:11.962,289
11_10_03_VA_ON,11/10/2017,14:01:12.465,129
11_10_03_VA_ON,11/10/2017,14:01:12.967,84
11_10_03_VA_ON,11/10/2017,14:01:13.468,44
11_10_03_VA_ON,11/10/2017,14:01:13.987,35
11_10_03_VA_ON,11/10/2017,14:01:14.492,35
11_10_03_VA_ON,11/10/2017,14:01:14.970,30
11_10_03_VA_ON,11/10/2017,14:01:15.466,33
11_10_03_VA_ON,11/10/2017,14:01:15.974,43
11_10_03_VA_ON,11/10/2017,14:01:16.463,40
11_10_03_VA_ON,11/10/2017,14:01:16.962,38
11_10_03_VA_ON,11/10/2017,14:01:17.465,35
11_10_03_VA_ON,11/10/2017,14:01:17.981,35
11_10_03_VA_ON,11/10/2017,14:01:18.487,44
11_10_03_VA_ON,11/10/2017,14:01:18.985,359
11_10_03_VA_ON,11/10/2017,14:01:19.466,310
11_10_03_VA_ON,11/10/2017,14:01:19.965,262
11_10_03_VA_ON,11/10/2017,14:01:20.463,288
11_10_03_VA_ON,11/10/2017,14:01:20.966,247
11_10_03_VA_ON,11/10/2017,14:01:21.470,250
11_10_03_VA_ON,11/10/2017,14:01:21.972,218
11_10_03_VA_ON,11/10/2017,14:01:22.491,213
11_10_03_VA_ON,11/10/2017,14:01:22.975,217
11_10_03_VA_ON,11/10/2017,14:01:23.471,215
11_10_03_VA_ON,11/10/2017,14:01:23.993,218
11_10_03_VA_ON,11/10/2017,14:01:24.474,213
11_10_03_VA_ON,11/10/2017,14:01:24.963,215
11_10_03_VA_ON,11/10/2017,14:01:25.465,218
11_10_03_VA_ON,11/10/2017,14:01:25.966,210
11_10_03_VA_ON,11/10/2017,14:01:26.470,208
11_10_03_VA_ON,11/10/2017,14:01:26.970,207
11_10_03_VA_ON,11/10/2017,14:01:27.485,212
11_10_03_VA_ON,11/10/2017,14:01:28.001,215
11_10_03_VA_ON,11/10/2017,14:01:28.500,210
11_10_03_VA_ON,11/10/2017,14:01:28.967,212
11_10_03_VA_ON,11/10/2017,14:01:29.465,207
11_10_03_VA_ON,11/10/2017,14:01:29.964,207
11_10_03_VA_ON,11/10/2017,14:01:30.466,209
11_10_03_VA_ON,11/10/2017,14:01:30.964,209
11_10_03_VA_ON,11/10/2017,14:01:31.475,213
11_10_03_VA_ON,11/10/2017,14:01:31.980,220
11_10_03_VA_ON,11/10/2017,14:01:32.491,220
11_10_03_VA_ON,11/10/2017,14:01:32.965,215
11_10_03_VA_ON,11/10/2017,14:01:33.466,220
11_10_03_VA_ON,11/10/2017,14:01:33.965,218
11_10_03_VA_ON,11/10/2017,14:01:34.465,217
11_10_03_VA_ON,11/10/2017,14:01:34.967,218
11_10_03_VA_ON,11/10/2017,14:01:35.469,215
11_10_03_VA_ON,11/10/2017,14:01:35.966,220
11_10_03_VA_ON,11/10/2017,14:01:36.466,218
11_10_03_VA_ON,11/10/2017,14:01:36.977,217
11_10_03_VA_ON,11/10/2017,14:01:37.472,217
11_10_03_VA_ON,11/10/2017,14:01:37.984,218
11_10_03_VA_ON,11/10/2017,14:01:38.477,220
11_10_03_VA_ON,11/10/2017,14:01:38.967,221
11_10_03_VA_ON,11/10/2017,14:01:39.501,223
11_10_03_VA_ON,11/10/2017,14:01:39.970,220
11_10_03_VA_ON,11/10/2017,14:01:40.469,223
11_10_03_VA_ON,11/10/2017,14:01:40.971,225
11_10_03_VA_ON,11/10/2017,14:01:41.471,217
11_10_03_VA_ON,11/10/2017,14:01:41.981,215
11_10_03_VA_ON,11/10/2017,14:01:42.475,217
11_10_03_VA_ON,11/10/2017,14:01:42.993,215
11_10_03_VA_ON,11/10/2017,14:01:43.499,217
11_10_03_VA_ON,11/10/2017,14:01:43.985,218
11_10_03_VA_ON,11/10/2017,14:01:44.469,218
11_10_03_VA_ON,11/10/2017,14:01:44.966,221
11_10_03_VA_ON,11/10/2017,14:01:45.475,220
11_10_03_VA_ON,11/10/2017,14:01:45.976,221
11_10_03_VA_ON,11/10/2017,14:01:46.481,223
11_10_03_VA_ON,11/10/2017,14:01:47.003,223
11_10_03_VA_ON,11/10/2017,14:01:47.542,220
11_10_03_VA_ON,11/10/2017,14:01:47.995,221
11_10_03_VA_ON,11/10/2017,14:01:48.470,220
11_10_03_VA_ON,11/10/2017,14:01:48.971,220
11_10_03_VA_ON,11/10/2017,14:01:49.473,223
11_10_03_VA_ON,11/10/2017,14:01:49.972,221
11_10_03_VA_ON,11/10/2017,14:01:50.475,221
11_10_03_VA_ON,11/10/2017,14:01:50.972,220
11_10_03_VA_ON,11/10/2017,14:01:51.471,215
11_10_03_VA_ON,11/10/2017,14:01:51.992,215
11_10_03_VA_ON,11/10/2017,14:01:52.471,220
11_10_03_VA_ON,11/10/2017,14:01:52.999,215
11_10_03_VA_ON,11/10/2017,14:01:53.492,220
11_10_03_VA_ON,11/10/2017,14:01:53.978,217
11_10_03_VA_ON,11/10/2017,14:01:54.476,220
11_10_03_VA_ON,11/10/2017,14:01:54.969,217
11_10_03_VA_ON,11/10/2017,14:01:55.473,221
11_10_03_VA_ON,11/10/2017,14:01:55.973,221
11_10_03_VA_ON,11/10/2017,14:01:56.477,220
11_10_03_VA_ON,11/10/2017,14:01:56.987,218
11_10_03_VA_ON,11/10/2017,14:01:57.488,218
11_10_03_VA_ON,11/10/2017,14:01:57.975,220
11_10_03_VA_ON,11/10/2017,14:01:58.471,220
11_10_03_VA_ON,11/10/2017,14:01:58.970,221
11_10_03_VA_ON,11/10/2017,14:01:59.470,225
11_10_03_VA_ON,11/10/2017,14:01:59.974,225
11_10_03_VA_ON,11/10/2017,14:02:00.471,225
11_10_03_VA_ON,11/10/2017,14:02:00.987,221
11_10_03_VA_ON,11/10/2017,14:02:01.487,223
