Patient ID, Date,Time,Brightness (LUX)
11_10_03_WD_OFF,11/10/2017,14:07:56.117,95
11_10_03_WD_OFF,11/10/2017,14:07:56.625,96
11_10_03_WD_OFF,11/10/2017,14:07:57.125,96
11_10_03_WD_OFF,11/10/2017,14:07:57.628,93
11_10_03_WD_OFF,11/10/2017,14:07:58.151,96
11_10_03_WD_OFF,11/10/2017,14:07:58.623,104
11_10_03_WD_OFF,11/10/2017,14:07:59.124,124
11_10_03_WD_OFF,11/10/2017,14:07:59.616,133
11_10_03_WD_OFF,11/10/2017,14:08:00.116,135
11_10_03_WD_OFF,11/10/2017,14:08:00.622,122
11_10_03_WD_OFF,11/10/2017,14:08:01.124,106
11_10_03_WD_OFF,11/10/2017,14:08:01.640,103
11_10_03_WD_OFF,11/10/2017,14:08:02.138,107
11_10_03_WD_OFF,11/10/2017,14:08:02.624,114
11_10_03_WD_OFF,11/10/2017,14:08:03.120,109
11_10_03_WD_OFF,11/10/2017,14:08:03.629,112
11_10_03_WD_OFF,11/10/2017,14:08:04.119,115
11_10_03_WD_OFF,11/10/2017,14:08:04.623,109
11_10_03_WD_OFF,11/10/2017,14:08:05.130,107
11_10_03_WD_OFF,11/10/2017,14:08:05.635,111
11_10_03_WD_OFF,11/10/2017,14:08:06.136,107
11_10_03_WD_OFF,11/10/2017,14:08:06.622,107
11_10_03_WD_OFF,11/10/2017,14:08:07.121,112
11_10_03_WD_OFF,11/10/2017,14:08:07.621,111
11_10_03_WD_OFF,11/10/2017,14:08:08.122,112
11_10_03_WD_OFF,11/10/2017,14:08:08.621,107
11_10_03_WD_OFF,11/10/2017,14:08:09.123,109
11_10_03_WD_OFF,11/10/2017,14:08:09.628,109
11_10_03_WD_OFF,11/10/2017,14:08:10.132,112
11_10_03_WD_OFF,11/10/2017,14:08:10.632,111
11_10_03_WD_OFF,11/10/2017,14:08:11.156,109
11_10_03_WD_OFF,11/10/2017,14:08:11.645,110
11_10_03_WD_OFF,11/10/2017,14:08:12.123,110
11_10_03_WD_OFF,11/10/2017,14:08:12.623,109
11_10_03_WD_OFF,11/10/2017,14:08:13.127,114
11_10_03_WD_OFF,11/10/2017,14:08:13.623,111
11_10_03_WD_OFF,11/10/2017,14:08:14.136,111
11_10_03_WD_OFF,11/10/2017,14:08:14.622,111
11_10_03_WD_OFF,11/10/2017,14:08:15.143,111
11_10_03_WD_OFF,11/10/2017,14:08:15.641,103
11_10_03_WD_OFF,11/10/2017,14:08:16.136,111
11_10_03_WD_OFF,11/10/2017,14:08:16.622,109
11_10_03_WD_OFF,11/10/2017,14:08:17.121,112
11_10_03_WD_OFF,11/10/2017,14:08:17.624,111
11_10_03_WD_OFF,11/10/2017,14:08:18.121,109
11_10_03_WD_OFF,11/10/2017,14:08:18.625,112
11_10_03_WD_OFF,11/10/2017,14:08:19.122,112
11_10_03_WD_OFF,11/10/2017,14:08:19.637,111
11_10_03_WD_OFF,11/10/2017,14:08:20.127,112
11_10_03_WD_OFF,11/10/2017,14:08:20.651,110
11_10_03_WD_OFF,11/10/2017,14:08:21.151,109
11_10_03_WD_OFF,11/10/2017,14:08:21.631,109
11_10_03_WD_OFF,11/10/2017,14:08:22.122,114
11_10_03_WD_OFF,11/10/2017,14:08:22.623,112
11_10_03_WD_OFF,11/10/2017,14:08:23.125,112
11_10_03_WD_OFF,11/10/2017,14:08:23.623,110
11_10_03_WD_OFF,11/10/2017,14:08:24.123,111
11_10_03_WD_OFF,11/10/2017,14:08:24.643,109
11_10_03_WD_OFF,11/10/2017,14:08:25.147,112
11_10_03_WD_OFF,11/10/2017,14:08:25.639,109
11_10_03_WD_OFF,11/10/2017,14:08:26.123,110
11_10_03_WD_OFF,11/10/2017,14:08:26.624,112
11_10_03_WD_OFF,11/10/2017,14:08:27.123,109
11_10_03_WD_OFF,11/10/2017,14:08:27.623,109
11_10_03_WD_OFF,11/10/2017,14:08:28.122,114
11_10_03_WD_OFF,11/10/2017,14:08:28.634,107
11_10_03_WD_OFF,11/10/2017,14:08:29.144,110
11_10_03_WD_OFF,11/10/2017,14:08:29.634,109
11_10_03_WD_OFF,11/10/2017,14:08:30.122,107
11_10_03_WD_OFF,11/10/2017,14:08:30.662,107
11_10_03_WD_OFF,11/10/2017,14:08:31.146,109
11_10_03_WD_OFF,11/10/2017,14:08:31.626,112
11_10_03_WD_OFF,11/10/2017,14:08:32.125,109
11_10_03_WD_OFF,11/10/2017,14:08:32.624,106
11_10_03_WD_OFF,11/10/2017,14:08:33.127,107
11_10_03_WD_OFF,11/10/2017,14:08:33.643,109
11_10_03_WD_OFF,11/10/2017,14:08:34.141,109
11_10_03_WD_OFF,11/10/2017,14:08:34.652,111
11_10_03_WD_OFF,11/10/2017,14:08:35.142,109
11_10_03_WD_OFF,11/10/2017,14:08:35.638,107
11_10_03_WD_OFF,11/10/2017,14:08:36.124,107
11_10_03_WD_OFF,11/10/2017,14:08:36.644,111
11_10_03_WD_OFF,11/10/2017,14:08:37.127,112
11_10_03_WD_OFF,11/10/2017,14:08:37.627,112
11_10_03_WD_OFF,11/10/2017,14:08:38.134,107
11_10_03_WD_OFF,11/10/2017,14:08:38.651,112
11_10_03_WD_OFF,11/10/2017,14:08:39.141,111
11_10_03_WD_OFF,11/10/2017,14:08:39.626,111
11_10_03_WD_OFF,11/10/2017,14:08:40.164,111
11_10_03_WD_OFF,11/10/2017,14:08:40.627,111
11_10_03_WD_OFF,11/10/2017,14:08:41.127,109
11_10_03_WD_OFF,11/10/2017,14:08:41.628,112
11_10_03_WD_OFF,11/10/2017,14:08:42.128,112
11_10_03_WD_OFF,11/10/2017,14:08:42.633,114
11_10_03_WD_OFF,11/10/2017,14:08:43.137,112
11_10_03_WD_OFF,11/10/2017,14:08:43.627,111
