Patient ID, Date,Time,Brightness (LUX)
7003,08/10/2017,18:50:57.279,98
7003,08/10/2017,18:50:57.305,35
7003,08/10/2017,18:50:57.328,31
7003,08/10/2017,18:50:57.597,26
7003,08/10/2017,18:50:58.102,27
7003,08/10/2017,18:50:58.595,27
7003,08/10/2017,18:50:59.083,35
7003,08/10/2017,18:50:59.584,50
7003,08/10/2017,18:51:00.114,82
7003,08/10/2017,18:51:00.584,88
7003,08/10/2017,18:51:01.084,41
7003,08/10/2017,18:51:01.587,30
7003,08/10/2017,18:51:02.095,31
7003,08/10/2017,18:51:02.632,37
7003,08/10/2017,18:51:03.083,46
7003,08/10/2017,18:51:03.611,59
7003,08/10/2017,18:51:04.084,99
7003,08/10/2017,18:51:04.584,60
7003,08/10/2017,18:51:05.084,51
7003,08/10/2017,18:51:05.593,49
7003,08/10/2017,18:51:06.083,51
7003,08/10/2017,18:51:06.587,48
7003,08/10/2017,18:51:07.107,44
7003,08/10/2017,18:51:07.585,47
7003,08/10/2017,18:51:08.082,49
7003,08/10/2017,18:51:08.584,48
7003,08/10/2017,18:51:09.087,48
7003,08/10/2017,18:51:09.586,46
7003,08/10/2017,18:51:10.085,51
7003,08/10/2017,18:51:10.605,58
7003,08/10/2017,18:51:11.087,72
7003,08/10/2017,18:51:11.585,76
7003,08/10/2017,18:51:12.082,78
7003,08/10/2017,18:51:12.587,59
7003,08/10/2017,18:51:13.087,25
7003,08/10/2017,18:51:13.584,25
7003,08/10/2017,18:51:14.107,26
7003,08/10/2017,18:51:14.594,24
7003,08/10/2017,18:51:15.088,26
7003,08/10/2017,18:51:15.618,26
7003,08/10/2017,18:51:16.088,25
7003,08/10/2017,18:51:16.595,26
7003,08/10/2017,18:51:17.087,26
7003,08/10/2017,18:51:17.608,26
7003,08/10/2017,18:51:18.085,26
7003,08/10/2017,18:51:18.587,26
7003,08/10/2017,18:51:19.117,25
7003,08/10/2017,18:51:19.585,25
7003,08/10/2017,18:51:20.088,26
7003,08/10/2017,18:51:20.585,26
7003,08/10/2017,18:51:21.095,25
7003,08/10/2017,18:51:21.587,25
7003,08/10/2017,18:51:22.089,25
7003,08/10/2017,18:51:22.622,25
7003,08/10/2017,18:51:23.086,26
7003,08/10/2017,18:51:23.589,26
7003,08/10/2017,18:51:24.089,26
7003,08/10/2017,18:51:24.593,27
7003,08/10/2017,18:51:25.093,26
7003,08/10/2017,18:51:25.586,26
7003,08/10/2017,18:51:26.113,26
7003,08/10/2017,18:51:26.590,26
7003,08/10/2017,18:51:27.089,26
7003,08/10/2017,18:51:27.588,27
7003,08/10/2017,18:51:28.093,27
7003,08/10/2017,18:51:28.588,26
7003,08/10/2017,18:51:29.090,25
7003,08/10/2017,18:51:29.604,24
7003,08/10/2017,18:51:30.088,24
7003,08/10/2017,18:51:30.589,24
7003,08/10/2017,18:51:31.120,26
7003,08/10/2017,18:51:31.586,25
7003,08/10/2017,18:51:32.090,26
7003,08/10/2017,18:51:32.596,26
7003,08/10/2017,18:51:33.096,25
7003,08/10/2017,18:51:33.591,25
7003,08/10/2017,18:51:34.093,25
7003,08/10/2017,18:51:34.613,25
7003,08/10/2017,18:51:35.094,25
7003,08/10/2017,18:51:35.589,25
7003,08/10/2017,18:51:36.089,25
7003,08/10/2017,18:51:36.592,25
7003,08/10/2017,18:51:37.095,26
7003,08/10/2017,18:51:37.590,26
7003,08/10/2017,18:51:38.104,25
7003,08/10/2017,18:51:38.592,25
7003,08/10/2017,18:51:39.102,25
7003,08/10/2017,18:51:39.624,25
7003,08/10/2017,18:51:40.098,25
7003,08/10/2017,18:51:40.594,25
7003,08/10/2017,18:51:41.088,25
